전공/학과,교과목명,담당교수,강의시간,수강인원
글로벌커뮤니케이션센터(학사),Advertising Communication principles in Digital and Print Media,앤써니캐셔(Anthony Kaschor),"화 C / 차121, 목 E / 차121",37
글로벌커뮤니케이션센터(학사),English for Career Development,마크샘플(Mark Sample),"화 A / 차123, 목 B / 차123",33
글로벌커뮤니케이션센터(학사),English for Global Tourism,허켈리(Kelly Un Kyong Hur),"화 C / 차122, 목 E / 차122",27
글로벌커뮤니케이션센터(학사),Introduction to Women’s Sexuality,쉐리슬릭(Sheri Slick),"화 A / , 목 B / ",50
글로벌커뮤니케이션센터(학사),Korean Economy and South East Asian Markets,Haggai Kennedy Ochieng,"월 F / 차227, 수 D / 차227",6
글로벌커뮤니케이션센터(학사),Korean University Student Journalism and Publishing,마크샘플(Mark Sample),"화 D / 차121, 목 F / 차121",4
글로벌커뮤니케이션센터(학사),Ordinary Superheroes in Animated Films,마크샘플(Mark Sample),"화 B / 차122, 목 A / 차122",0
글로벌커뮤니케이션센터(학사),TED English,애덤(Adam Talbot),"화 F / 차121, 목 D / 차121",18
글로벌커뮤니케이션센터(학사),영어회화,채드(Chad Luff),월 5~6 / 차144,14
글로벌커뮤니케이션센터(학사),영어회화,피터(Peter Song),월 5~6 / 차145,15
글로벌커뮤니케이션센터(학사),영어회화,샘(Samuel Smith),월 5~6 / 차146,18
글로벌커뮤니케이션센터(학사),영어회화,마크샘플(Mark Sample),월 5~6 / 차147,14
글로벌커뮤니케이션센터(학사),영어회화,윌리엄(William Williams),월 3~4 / 차144,17
글로벌커뮤니케이션센터(학사),영어회화,메튜퍼거슨(Oliver Matthew Ferguson),월 5~6 / 차143,14
글로벌커뮤니케이션센터(학사),영어회화,루이스(Luis Adrian Jaramillo),수 3~4 / 차147,16
글로벌커뮤니케이션센터(학사),영어회화,채드(Chad Luff),월 3~4 / 차143,15
글로벌커뮤니케이션센터(학사),영어회화,마크샘플(Mark Sample),월 3~4 / 차145,16
글로벌커뮤니케이션센터(학사),영어회화,루이스(Luis Adrian Jaramillo),월 3~4 / 차146,16
글로벌커뮤니케이션센터(학사),영어회화,샘(Samuel Smith),월 7~8 / 차145,15
글로벌커뮤니케이션센터(학사),영어회화,허켈리(Kelly Un Kyong Hur),월 3~4 / 차147,14
글로벌커뮤니케이션센터(학사),영어회화,루이스(Luis Adrian Jaramillo),월 7~8 / 차143,15
글로벌커뮤니케이션센터(학사),영어회화,쉐리슬릭(Sheri Slick),월 7~8 / 차144,15
글로벌커뮤니케이션센터(학사),영어회화,애덤(Adam Talbot),월 7~8 / 차146,16
글로벌커뮤니케이션센터(학사),영어회화,채드(Chad Luff),월 7~8 / 차147,15
글로벌커뮤니케이션센터(학사),영어회화,앤써니캐셔(Anthony Kaschor),수 1~2 / 차143,16
글로벌커뮤니케이션센터(학사),영어회화,허켈리(Kelly Un Kyong Hur),월 1~2 / 차145,15
글로벌커뮤니케이션센터(학사),영어회화,애덤(Adam Talbot),수 1~2 / 차144,15
글로벌커뮤니케이션센터(학사),영어회화,앤써니캐셔(Anthony Kaschor),월 1~2 / 차143,15
글로벌커뮤니케이션센터(학사),영어회화,윌리엄(William Williams),월 1~2 / 차144,14
글로벌커뮤니케이션센터(학사),영어회화,루이스(Luis Adrian Jaramillo),월 1~2 / 차146,12
글로벌커뮤니케이션센터(학사),영어회화,채드(Chad Luff),수 1~2 / 차147,19
글로벌커뮤니케이션센터(학사),영어회화,쉐리슬릭(Sheri Slick),수 5~6 / 차145,18
글로벌커뮤니케이션센터(학사),영어회화,윌리엄(William Williams),수 1~2 / 차146,20
글로벌커뮤니케이션센터(학사),영어회화,피터(Peter Song),수 5~6 / 차143,18
글로벌커뮤니케이션센터(학사),영어회화,채드(Chad Luff),수 5~6 / 차144,18
글로벌커뮤니케이션센터(학사),영어회화,마크샘플(Mark Sample),수 1~2 / 차145,17
글로벌커뮤니케이션센터(학사),영어회화,피터(Peter Song),수 7~8 / 차143,17
글로벌커뮤니케이션센터(학사),영어회화,메튜퍼거슨(Oliver Matthew Ferguson),수 3~4 / 차143,15
글로벌커뮤니케이션센터(학사),영어회화,앤써니캐셔(Anthony Kaschor),수 3~4 / 차144,17
글로벌커뮤니케이션센터(학사),영어회화,애덤(Adam Talbot),수 3~4 / 차145,14
글로벌커뮤니케이션센터(학사),영어회화,허켈리(Kelly Un Kyong Hur),수 3~4 / 차146,16
글로벌커뮤니케이션센터(학사),영어회화,메튜퍼거슨(Oliver Matthew Ferguson),수 7~8 / 차144,18
글로벌커뮤니케이션센터(학사),영어회화,쉐리슬릭(Sheri Slick),수 7~8 / 차145,16
글로벌커뮤니케이션센터(학사),영어회화,샘(Samuel Smith),수 7~8 / 차146,18
글로벌커뮤니케이션센터(학사),전문영어: Academic Writing,피터(Peter Song),"화 A / 차121, 목 B / 차121",25
글로벌커뮤니케이션센터(학사),전문영어: Academic Writing,메튜퍼거슨(Oliver Matthew Ferguson),"월 F / 차226, 수 D / 차226",20
글로벌커뮤니케이션센터(학사),전문영어: Academic Writing,메튜퍼거슨(Oliver Matthew Ferguson),"월 B / 차121, 수 A / 차121",25
글로벌커뮤니케이션센터(학사),전문영어: Academic Writing,피터(Peter Song),"화 B / 차121, 목 A / 차121",23
글로벌커뮤니케이션센터(학사),전문영어: Business and Presentation English,채드(Chad Luff),"월 A / 차122, 수 B / 차122",0
글로벌커뮤니케이션센터(학사),전문영어: Business and Presentation English,채드(Chad Luff),"월 B / 차122, 수 A / 차122",0
글로벌커뮤니케이션센터(학사),전문영어: English through Current Events and News,윌리엄(William Williams),"월 E / 차122, 수 C / 차122",25
글로벌커뮤니케이션센터(학사),전문영어: English through Current Events and News,윌리엄(William Williams),"월 F / 차122, 수 D / 차122",24
글로벌커뮤니케이션센터(학사),전문영어: From Resume to Job Interview,마크샘플(Mark Sample),"월 E / 차121, 수 C / 차121",25
글로벌커뮤니케이션센터(학사),전문영어: From Resume to Job Interview,마크샘플(Mark Sample),"월 F / 차121, 수 D / 차121",25
글로벌커뮤니케이션센터(학사),전문영어: Introduction to Creative Writing,허켈리(Kelly Un Kyong Hur),"월 D / 차123, 수 F / 차123",25
글로벌커뮤니케이션센터(학사),전문영어: Introduction to Creative Writing,박상희,"월 C / 차123, 수 E / 차123",25
글로벌커뮤니케이션센터(학사),전문영어: Introduction to Creative Writing,허켈리(Kelly Un Kyong Hur),"월 F / 차123, 수 D / 차123",25
글로벌커뮤니케이션센터(학사),전문영어: Introduction to Voice of Influence,루이스(Luis Adrian Jaramillo),"월 D / 차124, 수 F / 차124",21
글로벌커뮤니케이션센터(학사),전문영어: Introduction to Voice of Influence,루이스(Luis Adrian Jaramillo),"월 F / 차124, 수 D / 차124",0
글로벌커뮤니케이션센터(학사),전문영어: Listening and Reading Skills Focused on Female Leadership,쉐리슬릭(Sheri Slick),"월 A / 차123, 수 B / 차123",0
글로벌커뮤니케이션센터(학사),전문영어: Listening and Reading Skills Focused on Female Leadership,쉐리슬릭(Sheri Slick),"월 B / 차123, 수 A / 차123",20
글로벌커뮤니케이션센터(학사),전문영어: Productivity and Self-Improvement,샘(Samuel Smith),"월 A / 차124, 수 B / 차124",20
글로벌커뮤니케이션센터(학사),전문영어: Productivity and Self-Improvement,샘(Samuel Smith),"월 B / 차124, 수 A / 차124",24
글로벌커뮤니케이션센터(학사),전문영어: Public Speaking Skills and Presentations,앤써니캐셔(Anthony Kaschor),"월 C / 차122, 수 E / 차122",25
글로벌커뮤니케이션센터(학사),전문영어: Public Speaking Skills and Presentations,앤써니캐셔(Anthony Kaschor),"화 A / 차122, 목 B / 차122",25
글로벌커뮤니케이션센터(학사),전문영어: Reading&Listening for Academic Materials in English,애덤(Adam Talbot),"월 C / 차121, 수 E / 차121",25
글로벌커뮤니케이션센터(학사),전문영어: Reading&Listening for Academic Materials in English,애덤(Adam Talbot),"월 D / 차121, 수 F / 차121",24
소통역량개발센터(학사),대학글쓰기(이공계),김영희,"월 F / 차250, 수 D / 차250",17
소통역량개발센터(학사),대학글쓰기(이공계),황인순,"월 E / 차254, 수 C / 차254",20
소통역량개발센터(학사),대학글쓰기(이공계),이윤빈,"월 F / 차255, 수 D / 차255",19
소통역량개발센터(학사),대학글쓰기(이공계),김혜정,"월 F / 차254, 수 D / 차254",18
소통역량개발센터(학사),대학글쓰기(이공계),권선경,"월 F / 차253, 수 D / 차253",19
소통역량개발센터(학사),대학글쓰기(이공계),이현정,"월 F / 차252, 수 D / 차252",17
소통역량개발센터(학사),대학글쓰기(이공계),양소영,"월 F / 차251, 수 D / 차251",17
소통역량개발센터(학사),대학글쓰기(인문·사회·예술계),이효영,"월 A / 차250, 수 B / 차250",14
소통역량개발센터(학사),대학글쓰기(인문·사회·예술계),김영희,"월 C / 차255, 수 E / 차255",18
소통역량개발센터(학사),대학글쓰기(인문·사회·예술계),양소영,"월 E / 차253, 수 C / 차253",15
소통역량개발센터(학사),대학글쓰기(인문·사회·예술계),권선경,"월 E / 차252, 수 C / 차252",18
소통역량개발센터(학사),대학글쓰기(인문·사회·예술계),이현정,"월 E / 차251, 수 C / 차251",17
소통역량개발센터(학사),대학글쓰기(인문·사회·예술계),김혜정,"월 E / 차250, 수 C / 차250",17
소통역량개발센터(학사),대학글쓰기(인문·사회·예술계),김윤정,"월 D / 차254, 수 F / 차254",15
소통역량개발센터(학사),대학글쓰기(인문·사회·예술계),황인순,"월 D / 차253, 수 F / 차253",18
소통역량개발센터(학사),대학글쓰기(인문·사회·예술계),이현정,"월 D / 차252, 수 F / 차252",16
소통역량개발센터(학사),대학글쓰기(인문·사회·예술계),김혜정,"월 D / 차251, 수 F / 차251",16
소통역량개발센터(학사),대학글쓰기(인문·사회·예술계),김영희,"월 D / 차250, 수 F / 차250",19
소통역량개발센터(학사),대학글쓰기(인문·사회·예술계),이윤빈,"월 C / 차254, 수 E / 차254",20
소통역량개발센터(학사),대학글쓰기(인문·사회·예술계),조진만,"월 C / 차253, 수 E / 차253",17
소통역량개발센터(학사),대학글쓰기(인문·사회·예술계),김윤정,"월 C / 차252, 수 E / 차252",15
소통역량개발센터(학사),대학글쓰기(인문·사회·예술계),양소영,"월 C / 차251, 수 E / 차251",16
소통역량개발센터(학사),대학글쓰기(인문·사회·예술계),권선경,"월 C / 차250, 수 E / 차250",16
소통역량개발센터(학사),대학글쓰기(인문·사회·예술계),이윤빈,"월 B / 차254, 수 A / 차254",20
