,room,time
120,누101,['화5~6']
39,대101,"['금A~B', '금E~F', '목A', '목B', '목C', '목F', '수A~B', '수C', '월E', '화A', '화B', '화D', '화E']"
31,대102,"['목A', '목C', '수A', '수B', '수E', '수F', '월A', '월B', '월C', '월D', '화B', '화E']"
47,대103,"['목A', '목B', '목C', '목D', '목F', '수C', '월E', '화A', '화B', '화D', '화E', '화F']"
60,대104,"['목A', '목B', '수C', '수D', '월E', '월F', '화A', '화B', '화C~D']"
67,대105,"['금C~D', '목C', '화E']"
49,대106,"['목A', '목C', '목E', '월C~D', '화B', '화C', '화E']"
48,대107,"['목1~2', '수F', '월D', '차247', '화4~5']"
64,대202,"['목B', '목D', '목E', '목F', '수A', '수C', '월B', '월E', '화A', '화C', '화D', '화F']"
72,대203,"['목C', '목E', '목F', '수5~6', '수E~F', '월E~F', '화C', '화D', '화E']"
68,대204,"['금3', '금4', '금7', '목C~D', '목F', '수F', '월3~4', '월D', '화D']"
71,대205,"['금3', '금4', '금7', '목E', '수F', '월D', '화C']"
61,라001,"['목11~12', '목3~4', '목5~6', '수11~12', '수3~4', '수E~F', '월10~11', '화3~4']"
63,라002,"['목10~11', '목F', '수11~12', '수C~D', '수E~F', '월7~8', '월C~D', '월G~H', '화11~12', '화D', '화E~F']"
119,라008,['목3~4']
62,라101,['수5~6']
118,라105,['화2~3']
127,약102,"['화A~B', '화C~D', '화E~F']"
133,약103,"['수1~3', '수4~6', '수7~9']"
131,약104,"['금5~6', '목3~4', '약201', '월3~4']"
128,약105,"['목2~3', '목6', '목7~8', '목C', '화1~2', '화3~4']"
130,약107,"['금2~3', '목2~3', '목5~6', '목7~8', '목9~10', '수2~3', '수5~6', '수8~10', '월7~8', '화10', '화1~2', '화3~5', '화8~9']"
132,약201,"['수2~3', '수6~7', '월A', '월B', '월D', '화1~2', '화3~4', '화5~6']"
121,약202,"['목7', '수2~3', '월1~2', '화2~3', '화7']"
123,약203,"['목8', '수2~3', '약204', '월2~3', '월5~6', '화3']"
122,약204,"['약205', '약206', '월3~4', '화2~3', '화6']"
124,약205,"['금A', '수1~2', '수5~6', '약206', '월6', '월7', '월A', '월B', '화D', '화E', '화F']"
126,약206,"['금B', '수2~3', '수7~8', '약207', '월8', '월D', '화D', '화E', '화F']"
125,약207,"['금D', '목4', '목D', '수5~6', '약105', '약212', '월1~2', '월5~6', '월7~8', '화D', '화E', '화F']"
134,약211,"['금1~3', '금4~6', '금7~9']"
129,약212,"['목5', '목E', '월1~2', '월5~6', '월7~8']"
88,언B118,['목E~F']
89,언B119,['목E~F']
77,유201,"['금A~B', '금E~F', '목1~2', '목C', '목D', '목E', '목F', '수C', '월C~D', '월E', '화1~2', '화C', '화D', '화E', '화F']"
99,유202,"['금A~B', '목A~B', '목C', '목E', '수D', '수E', '월C', '월F', '화C', '화E']"
26,유210,"['금A~B', '목C', '목D', '목E', '목F', '수C', '월E', '화C', '화D', '화E', '화F']"
45,인101,"['금E~F', '목A', '목D', '목E', '목F', '수C', '수D', '수E', '수F', '월C', '월D', '월E', '월F', '화B', '화C', '화D', '화F']"
37,인102,"['금C~D', '목A', '목C', '목D', '목E', '목F', '수B', '수C', '수D', '수E', '월A', '월C', '월E', '월F', '화B', '화C', '화D', '화E', '화F']"
