,room,time
0,차121,"{'화E', '목A', '목E', '월C', '월A', '목D', '월F', '수A', '목C', '월D', '화A', '수C', '목F', '화D', '수D', '수B', '월E', '화C', '월B', '목B', '화F', '수F', '수E', '화B'}"
1,차123,"{'화E', '목A', '목E', '월C', '목D', '월F', '수A', '목C', '월D', '화A', '수C', '수D', '월E', '화C', '월B', '목B', '화F', '수F', '수E', '화B'}"
2,차122,"{'월C', '화A', '수C', '목F', '화D', '수D', '월F', '목B', '목C~D', '수A', '월E', '수F', '화C', '월B', '수E', '월D', '목E'}"
3,,"{'금E~F', '월10~12', '수A~B', '금E~H', '금C~D', '금5~6', '월F', '금7~9', '화C~D', '토7~9', '화A', '수C', '수D', '금4~6', '월E', '월E~F', '목B', '월9~10', '목E~F', '금1~3', '토1~3'}"
4,차227,"{'화F', '수C', '수D', '목D', '월F', '화E', '화C~D', '월E', '목C', '목A', '수A~B', '화B'}"
5,차144,"{'수3~4', '수1~2', '수7~8', '수5~6', '월7~8', '월5~6', '월3~4', '월1~2'}"
6,차145,"{'수3~4', '수1~2', '수7~8', '수5~6', '월7~8', '월5~6', '월3~4', '월1~2'}"
7,차146,"{'수3~4', '수1~2', '수7~8', '월7~8', '월5~6', '월3~4', '월1~2'}"
8,차147,"{'수3~4', '수1~2', '월7~8', '월5~6', '월3~4'}"
9,차143,"{'수3~4', '수1~2', '수7~8', '수5~6', '월7~8', '월5~6', '월3~4', '월1~2'}"
10,차226,"{'금E~F', '화E', '목A', '목E', '월C', '목D', '월F', '목C', '월D', '수C', '목F', '화D', '수D', '월E', '화C', '화F', '수F', '수E', '화B'}"
11,차124,"{'월C', '화A', '화F', '월A', '목F', '화D', '목D', '수A', '수B', '화E', '목C', '수F', '화C', '월B', '수E', '월D', '목E', '화B'}"
12,차250,"{'월C', '월A', '수C', '수D', '월F', '수A', '수B', '월E', '수F', '월B', '수E', '월D'}"
13,차254,"{'월C', '수C', '월A', '수D', '월F', '수A', '수B', '월E', '수F', '월B', '수E', '월D'}"
14,차255,"{'월C', '수D', '월F', '수A', '월B', '수E'}"
15,차253,"{'월C', '수C', '월A', '수D', '월F', '수A', '수B', '월E', '수F', '월B', '수E', '월D'}"
16,차252,"{'월C', '수C', '월A', '수D', '월F', '수A', '수B', '월E', '수F', '월B', '수E', '월D'}"
17,차251,"{'월C', '수C', '월A', '수D', '월F', '수A', '수B', '월E', '수F', '월B', '수E', '월D'}"
18,인116,"{'월C', '월A', '수C', '수A', '수B', '월E', '수F', '월B', '수E', '월D'}"
19,인117,"{'월C', '월A', '수D', '월F', '수A', '수B', '수F', '월B', '수E', '월D'}"
20,인118,"{'화F', '월A', '수C', '목F', '화D', '수D', '목D', '월F', '수A', '수B', '월E', '월B'}"
21,인134,"{'월C', '월A', '수C', '목F', '화D', '수A', '수B', '월E', '월B', '수E'}"
22,인135,"{'월C', '월A', '수C', '수D', '월F', '수A', '수B', '월E', '월B', '수E'}"
23,인115,"{'월C', '월A', '수C', '수B', '월E', '수F', '수E', '월D'}"
24,인304,"{'월C', '금E~F', '목A~B', '금C~D', '수C', '목F', '화E~F', '화D', '수D', '월F', '목C~D', '월E', '수F', '화C', '수E', '월D', '목E'}"
25,차256,"{'월C', '화A', '수D', '월F', '목B', '수F', '수E', '월D'}"
26,인330,"{'월C', '화F', '화A', '월F~G', '수C', '수E', '목D', '화E', '화C~D', '월E', '수F', '목C', '목A', '목B', '월D', '목E~F', '화B'}"
27,유210,"{'화F', '수C', '목F', '금A~B', '화D', '목D', '화E', '월E', '목C', '화C', '목E'}"
28,인136,"{'수B', '월A'}"
29,차323,"{'수1~2', '화E~F', '월3~4', '월1~2', '금1~2', '목E', '수3~4', '금5~6', '금7~8', '금3~4', '수E~F', '수5~6', '월5~6', '화A', '목F', '화D', '화C', '목B', '월E~F', '목5~6'}"
30,차324,"{'수3~4', '화A', '수1~2', '화E~F', '금7~8', '금5~6', '금3~4', '수5~6', '목C~D', '화C~D', '월7~8', '월5~6', '월3~4', '월1~2', '목B', '금1~2', '목E~F'}"
31,인345,"{'월C', '화F', '수C', '목F', '화D', '수D', '목D', '월F', '화E', '월E', '목C', '수F', '화C', '목A', '수E', '월D', '목E', '화B'}"
32,대102,"{'월C', '월A', '월B', '수A', '화E', '수B', '수F', '목C', '목A', '수E', '월D', '화B'}"
